ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(5.60035e+06)","Runtime Improvement""""(799453)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,8.49,implicit_convolve_sgemm,..implicit_convolve_sgemm..,35.01,2.97,54.57,61.70,80,"  392,    2,    1","    8,    8,    1"
1,17.61,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,15.17,2.67,8.23,43.21,20,"   64,    1,    1","  512,    1,    1"
2,0.00,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.61,0.00,8.01,75.37,18," 1568,    1,    1","  128,    1,    1"
3,0.00,max_pool_forward_nchw,..max_pool_forward_nchw..,11.42,0.00,50.82,50.72,26,"  784,    1,    1","  256,    1,    1"
4,19.48,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4..,7.07,1.38,8.91,18.95,90,"    8,    7,    1","  128,    1,    1"
5,16.46,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.27,1.03,6.30,22.28,20,"   64,    1,    1","  512,    1,    1"
6,7.16,vectorized_elementwise_kernel,..launch_clamp_scalar..,4,0.29,3.86,32.63,18,"  392,    1,    1","  128,    1,    1"
7,12.77,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.58,0.46,3.08,7.60,40,"    2,   16,    1","   32,    4,    1"
8,20.54,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,19.87,4.08,32.32,32.90,130,"    2,    7,    4","  256,    1,    1"
9,14.28,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.34,0.90,5.89,20.61,20,"   64,    1,    1","  512,    1,    1"
10,7.65,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.10,0.31,4.01,30.91,18,"  392,    1,    1","  128,    1,    1"
11,21.79,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.72,3.21,12.85,24.66,218,"   32,    2,    1","  128,    1,    1"
12,19.07,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,13.31,2.54,14.14,52.57,20,"  256,    1,    1","  512,    1,    1"
13,21.74,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.78,3.21,12.87,24.92,218,"   32,    2,    1","  128,    1,    1"
14,14.39,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,12.77,1.84,11.10,53.91,20,"  256,    1,    1","  512,    1,    1"
15,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,13.31,0.00,4.45,76.73,22," 1568,    1,    1","  128,    1,    1"
