ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(2.068e+06)","Runtime Improvement""""(293419)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
38,0.00,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.70,0.00,7.99,74.02,18," 1568,    1,    1","  128,    1,    1"
39,22.54,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,18.69,4.21,19.44,32.17,136,"   16,    4,    1","  128,    1,    1"
40,8.07,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,7.42,0.60,11.65,41.09,20,"  128,    1,    1","  512,    1,    1"
41,8.78,vectorized_elementwise_kernel,..launch_clamp_scalar..,6.05,0.53,5.80,49.86,18,"  784,    1,    1","  128,    1,    1"
42,7.14,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.18,0.44,16.83,48.39,33,"   98,    4,    1","  256,    1,    1"
43,13.98,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.28,0.74,23.86,17.72,33,"    1,    4,  128","  256,    1,    1"
44,22.17,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,23.30,5.17,18.33,45.70,122,"    4,   13,    1","  128,    1,    1"
45,8.12,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.09,0.41,5.09,13.01,20,"  128,    1,    1","  256,    1,    1"
46,8.36,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.42,0.29,2.17,16.33,18,"  196,    1,    1","  128,    1,    1"
47,20.30,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.67,2.57,16.22,26.08,136,"   64,    1,    1","  128,    1,    1"
48,15.46,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.10,1.25,13.61,40.91,20,"  512,    1,    1","  256,    1,    1"
49,9.48,implicit_convolve_sgemm,..implicit_convolve_sgemm..,34.27,3.25,47.84,60.36,80,"   25,   16,    1","    8,    8,    1"
50,14.08,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.10,1.14,11.63,36.91,20,"  512,    1,    1","  256,    1,    1"
51,5.18,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.71,0.40,3.48,60.95,22,"  784,    1,    1","  128,    1,    1"
52,5.87,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.60,0.33,5.95,47.82,18,"  784,    1,    1","  128,    1,    1"
53,19.62,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.69,3.67,10.13,18.43,96,"   16,    2,    1","  128,    1,    1"
54,8.05,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,5.02,0.40,5.36,13.95,20,"  128,    1,    1","  256,    1,    1"
55,7.78,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.23,0.25,2.27,15.77,18,"  196,    1,    1","  128,    1,    1"
56,11.18,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.19,0.47,6.18,12.89,33,"   25,    4,    1","  256,    1,    1"
57,14.34,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.22,0.75,23.97,19.59,33,"    1,    4,  128","  256,    1,    1"
58,21.68,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.62,4.91,18.74,46.34,122,"    4,   13,    1","  128,    1,    1"
59,8.53,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.96,0.42,5.23,13.61,20,"  128,    1,    1","  256,    1,    1"
60,8.56,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.26,0.28,2.18,17.77,18,"  196,    1,    1","  128,    1,    1"
61,20.29,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.86,2.61,16.27,25.65,136,"   64,    1,    1","  128,    1,    1"
62,14.29,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8,1.14,12.17,40.89,20,"  512,    1,    1","  256,    1,    1"
63,5.97,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.87,0.47,3.51,61.50,22,"  784,    1,    1","  128,    1,    1"
64,0.00,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.82,0.00,5.96,50.77,18,"  784,    1,    1","  128,    1,    1"
65,19.67,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.50,3.64,10.14,18.62,96,"   16,    2,    1","  128,    1,    1"
66,8.83,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.96,0.44,5.30,13.50,20,"  128,    1,    1","  256,    1,    1"
67,8.09,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.30,0.27,2.33,16.90,18,"  196,    1,    1","  128,    1,    1"
68,13.61,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.13,0.56,6.16,13.15,33,"   25,    4,    1","  256,    1,    1"
69,13.48,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.28,0.71,23.72,17.00,33,"    1,    4,  128","  256,    1,    1"
70,22.25,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_warpsize2x2x1_g1_tensor16x8x8_alignc4_execute_kernel_cudnn_infer,22.40,4.98,19.07,46.79,122,"    4,   13,    1","  128,    1,    1"
71,8.53,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.93,0.42,5.37,14.24,20,"  128,    1,    1","  256,    1,    1"
72,8.20,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.26,0.27,2.24,15.35,18,"  196,    1,    1","  128,    1,    1"
73,20.28,Kernel2,..cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4..,12.74,2.58,16.20,25.94,136,"   64,    1,    1","  128,    1,    1"
74,15.85,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,8.22,1.30,13.89,38.94,20,"  512,    1,    1","  256,    1,    1"
75,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,7.87,0.00,2.88,61.23,22,"  784,    1,    1","  128,    1,    1"
76,17.26,vectorized_elementwise_kernel,..launch_clamp_scalar..,5.66,0.98,5.93,47.89,18,"  784,    1,    1","  128,    1,    1"
77,19.77,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4..,18.62,3.68,10.15,18.49,96,"   16,    2,    1","  128,    1,    1"
78,10.25,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,4.83,0.50,5.34,12.99,20,"  128,    1,    1","  256,    1,    1"
79,7.43,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.36,0.25,2.33,16.28,18,"  196,    1,    1","  128,    1,    1"
80,11.12,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.26,0.47,5.90,13.01,33,"   25,    4,    1","  256,    1,    1"
