ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(3.71203e+06)","Runtime Improvement""""(438524)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,6.28,computeOffsetsKernel,..computeOffsetsKernel..,3.07,0.19,12.18,6.83,16,"  197,    1,    1","  256,    1,    1"
1,8.55,cudnn_infer_ampere_scudnn_128x64_relu_small_nn_v1,cudnn_infer_ampere_scudnn_128x64_relu_small_nn_v1,35.62,3.04,40.78,39.52,128,"  392,    1,    1","  128,    1,    1"
2,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,32.45,0.00,32.12,84.45,16,"12544,    1,    1","  128,    1,    1"
3,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,31.81,0.00,5.78,85.96,18," 6272,    1,    1","  128,    1,    1"
4,12.71,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.39,0.43,3.07,7.97,40,"    2,   16,    1","   32,    4,    1"
5,0.00,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,177.09,0.00,51.01,54.96,130,"    2,   28,   14","  256,    1,    1"
6,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,32.77,0.00,31.99,84.51,16,"12544,    1,    1","  128,    1,    1"
7,5.05,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,32.54,1.64,6.49,85.13,18," 6272,    1,    1","  128,    1,    1"
8,0.00,max_pool_forward_nchw,..max_pool_forward_nchw..,30.08,0.00,56.38,81.27,26," 3136,    1,    1","  256,    1,    1"
9,7.14,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.31,0.67,26.03,64.54,33,"  392,    2,    1","  256,    1,    1"
10,6.53,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.06,0.27,16.07,10.65,33,"    1,    2,  128","  256,    1,    1"
11,23.61,sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,124.96,29.50,25.50,24.40,242,"    1,   98,    1","  128,    1,    1"
12,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,17.79,0.00,31.60,74.21,16," 6272,    1,    1","  128,    1,    1"
13,9.41,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,16.54,1.56,7.29,80.20,18," 3136,    1,    1","  128,    1,    1"
14,6.95,nchwToNhwcKernel,..nchw2nhwc_params_t..,17.25,1.20,26.60,77.10,33,"  392,    4,    1","  256,    1,    1"
15,13.21,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.38,0.71,23.33,16.66,33,"    1,    4,  128","  256,    1,    1"
16,23.54,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,224.96,52.97,28.14,25.59,232,"    1,   98,    1","  128,    1,    1"
17,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,17.89,0.00,31.63,75.64,16," 6272,    1,    1","  128,    1,    1"
18,10.61,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,16.64,1.77,7.42,81.23,18," 3136,    1,    1","  128,    1,    1"
19,0.00,max_pool_forward_nchw,..max_pool_forward_nchw..,16.77,0.00,53.53,71.85,26," 1568,    1,    1","  256,    1,    1"
20,5.90,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.05,0.36,17.74,47.26,33,"   98,    4,    1","  256,    1,    1"
21,8.52,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.82,0.58,36.00,28.09,33,"    1,    4,  256","  256,    1,    1"
22,15.91,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4..,93.86,14.93,34.09,40.35,118,"  196,    1,    1","  128,    1,    1"
23,5.01,nhwcToNchwKernel,..nhwc2nchw_params_t..,9.79,0.49,27.30,65.92,40,"   98,    8,    1","  256,    1,    1"
24,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,10.88,0.00,30.32,60.04,16," 3136,    1,    1","  128,    1,    1"
25,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,8.74,0.00,6.02,74.86,18," 1568,    1,    1","  128,    1,    1"
26,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.79,0.00,26.34,66.60,33,"   98,    8,    1","  256,    1,    1"
27,6.12,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.14,0.62,46.18,47.45,33,"    1,    8,  256","  256,    1,    1"
28,16.06,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4..,172.77,27.74,36.74,42.93,118,"  196,    1,    1","  128,    1,    1"
29,0.00,nhwcToNchwKernel,..nhwc2nchw_params_t..,10.11,0.00,26.81,63.52,40,"   98,    8,    1","  256,    1,    1"
30,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,10.56,0.00,32.16,61.31,16," 3136,    1,    1","  128,    1,    1"
31,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,8.61,0.00,8.01,76.52,18," 1568,    1,    1","  128,    1,    1"
32,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.70,0.00,26.20,67.71,33,"   98,    8,    1","  256,    1,    1"
33,6.01,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.08,0.61,47.47,46.52,33,"    1,    8,  256","  256,    1,    1"
34,15.97,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4..,172.42,27.53,36.72,43.04,118,"  196,    1,    1","  128,    1,    1"
35,12.44,nhwcToNchwKernel,..nhwc2nchw_params_t..,9.82,1.22,27.07,66.08,40,"   98,    8,    1","  256,    1,    1"
36,6.37,elementwise_kernel,..gpu_kernel_impl_nocast..,10.40,0.66,32.01,59.31,16," 3136,    1,    1","  128,    1,    1"
37,13.10,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,8.70,1.14,8.09,75.14,18," 1568,    1,    1","  128,    1,    1"
38,6.84,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.98,0.68,26.00,64.88,33,"   98,    8,    1","  256,    1,    1"
39,7.07,nchwToNhwcKernel,..nchw2nhwc_params_t..,10.05,0.71,47.80,44.67,33,"    1,    8,  256","  256,    1,    1"
40,16.12,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4..,175.49,28.28,36.72,42.28,118,"  196,    1,    1","  128,    1,    1"
41,0.00,nhwcToNchwKernel,..nhwc2nchw_params_t..,9.70,0.00,19.82,63.09,40,"   98,    8,    1","  256,    1,    1"
42,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,10.69,0.00,23.29,57.78,16," 3136,    1,    1","  128,    1,    1"
43,16.15,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,8.70,1.41,8.08,75.69,18," 1568,    1,    1","  128,    1,    1"
44,0.00,max_pool_forward_nchw,..max_pool_forward_nchw..,10.34,0.00,40.76,54.76,26,"  784,    1,    1","  256,    1,    1"
45,8.97,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.70,0.42,10.31,28.71,33,"   25,    8,    1","  256,    1,    1"
46,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,16.67,0.00,56.15,58.53,33,"    1,    8,  512","  256,    1,    1"
47,22.97,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x128_16x6_nhwc_align4..,113.44,26.06,29.64,28.96,152,"   52,    1,    1","  128,    1,    1"
48,6.02,nhwcToNchwKernel,..nhwc2nchw_params_t..,6.27,0.38,18.04,46.32,40,"   25,   16,    1","  256,    1,    1"
49,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,6.78,0.00,22.32,43.22,16," 1568,    1,    1","  128,    1,    1"
50,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,5.95,0.00,4.77,49.01,18,"  784,    1,    1","  128,    1,    1"
51,8.54,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.05,0.52,18.34,44.46,33,"   25,   16,    1","  256,    1,    1"
52,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,29.50,0.00,60.48,67.34,33,"    1,   16,  512","  256,    1,    1"
53,21.56,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4..,219.68,47.37,32.91,20.66,168,"   28,    2,    1","  128,    1,    1"
54,0.00,nhwcToNchwKernel,..nhwc2nchw_params_t..,6.50,0.00,15.40,50.96,40,"   25,   16,    1","  256,    1,    1"
55,5.60,elementwise_kernel,..gpu_kernel_impl_nocast..,6.94,0.39,22.28,42.99,16," 1568,    1,    1","  128,    1,    1"
56,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,5.92,0.00,4.54,49.55,18,"  784,    1,    1","  128,    1,    1"
57,8.16,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.05,0.49,18.12,48.04,33,"   25,   16,    1","  256,    1,    1"
58,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,29.31,0.00,59.33,68.69,33,"    1,   16,  512","  256,    1,    1"
59,21.53,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4..,220.51,47.47,32.86,20.61,168,"   28,    2,    1","  128,    1,    1"
60,13.53,nhwcToNchwKernel,..nhwc2nchw_params_t..,6.43,0.87,18.33,50.35,40,"   25,   16,    1","  256,    1,    1"
61,5.11,elementwise_kernel,..gpu_kernel_impl_nocast..,6.94,0.35,18.99,42.32,16," 1568,    1,    1","  128,    1,    1"
62,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,5.95,0.00,4.64,49.59,18,"  784,    1,    1","  128,    1,    1"
63,9.01,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.11,0.55,16.92,47.57,33,"   25,   16,    1","  256,    1,    1"
64,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,29.63,0.00,60.53,68.28,33,"    1,   16,  512","  256,    1,    1"
65,21.55,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4..,219.58,47.33,32.90,20.67,168,"   28,    2,    1","  128,    1,    1"
