ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(3.82317e+06)","Runtime Improvement""""(541169)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,7.99,implicit_convolve_sgemm,..implicit_convolve_sgemm..,35.74,2.85,54.55,61.66,80,"  392,    2,    1","    8,    8,    1"
1,17.35,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,15.30,2.65,7.99,43.46,20,"   64,    1,    1","  512,    1,    1"
2,5.34,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.61,0.46,8.10,72.23,18," 1568,    1,    1","  128,    1,    1"
3,5.04,max_pool_forward_nchw,..max_pool_forward_nchw..,11.42,0.58,48.69,51.53,26,"  784,    1,    1","  256,    1,    1"
4,19.79,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4..,7.01,1.39,8.83,19.19,90,"    8,    7,    1","  128,    1,    1"
5,15.52,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.24,0.97,6.45,22.08,20,"   64,    1,    1","  512,    1,    1"
6,8.69,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.13,0.36,4.07,30.64,18,"  392,    1,    1","  128,    1,    1"
7,13.05,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.42,0.45,3.16,7.91,40,"    2,   16,    1","   32,    4,    1"
8,20.28,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,19.78,4.01,33.09,33.65,130,"    2,    7,    4","  256,    1,    1"
9,14.33,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.27,0.90,5.96,21.82,20,"   64,    1,    1","  512,    1,    1"
10,7.42,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.06,0.30,3.65,32.52,18,"  392,    1,    1","  128,    1,    1"
11,22.13,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.82,3.28,13.05,24.50,218,"   32,    2,    1","  128,    1,    1"
